RedFighter,BlueFighter,Date,Location,Winner,WeightClass,Finish,FinishDetails,FinishRound,WinningFIghter,LosingFighter
Takashi Sato,Themba Gorimbo,5/20/23,"Las Vegas, Nevada, USA",Blue,Welterweight,U-DEC,None,3,Themba Gorimbo,Takashi Sato
Jairzinho Rozenstruik,Jailton Almeida,5/13/23,"Charlotte, North Carolina, USA",Blue,Heavyweight,SUB,Rear Naked Choke,1,Jailton Almeida,Jairzinho Rozenstruik
Anthony Smith,Johnny Walker,5/13/23,"Charlotte, North Carolina, USA",Blue,Light Heavyweight,U-DEC,None,3,Johnny Walker,Anthony Smith
Daniel Rodriguez,Ian Machado Garry,5/13/23,"Charlotte, North Carolina, USA",Blue,Welterweight,KO/TKO,Kick,1,Ian Machado Garry,Daniel Rodriguez
Carlos Ulberg,Ihor Potieria,5/13/23,"Charlotte, North Carolina, USA",Red,Light Heavyweight,KO/TKO,Punches,1,Carlos Ulberg,Ihor Potieria
Tim Means,Alex Morono,5/13/23,"Charlotte, North Carolina, USA",Blue,Welterweight,SUB,Guillotine Choke,2,Alex Morono,Tim Means
Matt Brown,Court McGee,5/13/23,"Charlotte, North Carolina, USA",Red,Welterweight,KO/TKO,Punch,1,Matt Brown,Court McGee
Karl Williams,Chase Sherman,5/13/23,"Charlotte, North Carolina, USA",Red,Heavyweight,U-DEC,None,3,Karl Williams,Chase Sherman
Cody Stamann,Douglas Silva de Andrade,5/13/23,"Charlotte, North Carolina, USA",Blue,Catch Weight,U-DEC,None,3,Douglas Silva de Andrade,Cody Stamann
Ji Yeon Kim,Mandy Bohm,5/13/23,"Charlotte, North Carolina, USA",Blue,Women's Flyweight,S-DEC,None,3,Mandy Bohm,Ji Yeon Kim
Bryan Battle,Gabe Green,5/13/23,"Charlotte, North Carolina, USA",Red,Welterweight,KO/TKO,Punch,1,Bryan Battle,Gabe Green
Jessica-Rose Clark,Tainara Lisboa,5/13/23,"Charlotte, North Carolina, USA",Blue,Women's Bantamweight,SUB,Rear Naked Choke,3,Tainara Lisboa,Jessica-Rose Clark
Aljamain Sterling,Henry Cejudo,5/6/23,"Newark, New Jersey, USA",Red,Bantamweight,S-DEC,None,5,Aljamain Sterling,Henry Cejudo
Belal Muhammad,Gilbert Burns,5/6/23,"Newark, New Jersey, USA",Red,Welterweight,U-DEC,None,5,Belal Muhammad,Gilbert Burns
Jessica Andrade,Yan Xiaonan,5/6/23,"Newark, New Jersey, USA",Blue,Women's Strawweight,KO/TKO,Punch,1,Yan Xiaonan,Jessica Andrade
Movsar Evloev,Diego Lopes,5/6/23,"Newark, New Jersey, USA",Red,Featherweight,U-DEC,None,3,Movsar Evloev,Diego Lopes
Kron Gracie,Charles Jourdain,5/6/23,"Newark, New Jersey, USA",Blue,Featherweight,U-DEC,None,3,Charles Jourdain,Kron Gracie
Drew Dober,Matt Frevola,5/6/23,"Newark, New Jersey, USA",Blue,Lightweight,KO/TKO,Punch,1,Matt Frevola,Drew Dober
Kennedy Nzechukwu,Devin Clark,5/6/23,"Newark, New Jersey, USA",Red,Light Heavyweight,SUB,Guillotine Choke,2,Kennedy Nzechukwu,Devin Clark
Khaos Williams,Rolando Bedoya,5/6/23,"Newark, New Jersey, USA",Red,Welterweight,S-DEC,None,3,Khaos Williams,Rolando Bedoya
Marina Rodriguez,Virna Jandiroba,5/6/23,"Newark, New Jersey, USA",Blue,Women's Strawweight,U-DEC,None,3,Virna Jandiroba,Marina Rodriguez
Braxton Smith,Parker Porter,5/6/23,"Newark, New Jersey, USA",Blue,Heavyweight,KO/TKO,Punches,1,Parker Porter,Braxton Smith
Phil Hawes,Ikram Aliskerov,5/6/23,"Newark, New Jersey, USA",Blue,Middleweight,KO/TKO,Punches,1,Ikram Aliskerov,Phil Hawes
Joseph Holmes,Claudio Ribeiro,5/6/23,"Newark, New Jersey, USA",Blue,Middleweight,KO/TKO,Punches,2,Claudio Ribeiro,Joseph Holmes
Song Yadong,Ricky Simon,4/29/23,"Las Vegas, Nevada, USA",Red,Bantamweight,KO/TKO,Punch,5,Song Yadong,Ricky Simon
Caio Borralho,Michal Oleksiejczuk,4/29/23,"Las Vegas, Nevada, USA",Red,Middleweight,SUB,Rear Naked Choke,2,Caio Borralho,Michal Oleksiejczuk
Rodolfo Vieira,Cody Brundage,4/29/23,"Las Vegas, Nevada, USA",Red,Middleweight,SUB,Arm Triangle,2,Rodolfo Vieira,Cody Brundage
Julian Erosa,Fernando Padilla,4/29/23,"Las Vegas, Nevada, USA",Blue,Featherweight,KO/TKO,Punches,1,Fernando Padilla,Julian Erosa
Marcos Rogerio de Lima,Waldo Cortes-Acosta,4/29/23,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Marcos Rogerio de Lima,Waldo Cortes-Acosta
Josh Quinlan,Trey Waters,4/29/23,"Las Vegas, Nevada, USA",Blue,Welterweight,U-DEC,None,3,Trey Waters,Josh Quinlan
Martin Buday,Jake Collier,4/29/23,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Martin Buday,Jake Collier
Cody Durden,Charles Johnson,4/29/23,"Las Vegas, Nevada, USA",Red,Flyweight,U-DEC,None,3,Cody Durden,Charles Johnson
Stephanie Egger,Irina Alekseeva,4/29/23,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,SUB,Kneebar,1,Irina Alekseeva,Stephanie Egger
Journey Newson,Marcus McGhee,4/29/23,"Las Vegas, Nevada, USA",Blue,Catch Weight,SUB,Rear Naked Choke,2,Marcus McGhee,Journey Newson
Hailey Cowan,Jamey-Lyn Horth,4/29/23,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,U-DEC,None,3,Jamey-Lyn Horth,Hailey Cowan
Sergei Pavlovich,Curtis Blaydes,4/22/23,"Las Vegas, Nevada, USA",Red,Heavyweight,KO/TKO,Punches,1,Sergei Pavlovich,Curtis Blaydes
Brad Tavares,Bruno Silva,4/22/23,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Punch,1,Bruno Silva,Brad Tavares
Iasmin Lucindo,Brogan Walker,4/22/23,"Las Vegas, Nevada, USA",Red,Women's Flyweight,U-DEC,None,3,Iasmin Lucindo,Brogan Walker
Jeremiah Wells,Matthew Semelsberger,4/22/23,"Las Vegas, Nevada, USA",Red,Welterweight,S-DEC,None,3,Jeremiah Wells,Matthew Semelsberger
Ricky Glenn,Christos Giagos,4/22/23,"Las Vegas, Nevada, USA",Blue,Lightweight,KO/TKO,Punch,1,Christos Giagos,Ricky Glenn
Rani Yahya,Montel Jackson,4/22/23,"Las Vegas, Nevada, USA",Blue,Bantamweight,KO/TKO,Punch,1,Montel Jackson,Rani Yahya
Karol Rosa,Norma Dumont,4/22/23,"Las Vegas, Nevada, USA",Blue,Women's Featherweight,U-DEC,None,3,Norma Dumont,Karol Rosa
Mohammed Usman,Junior Tafa,4/22/23,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Mohammed Usman,Junior Tafa
Francis Marshall,William Gomis,4/22/23,"Las Vegas, Nevada, USA",Blue,Featherweight,S-DEC,None,3,William Gomis,Francis Marshall
Brady Hiestand,Batgerel Danaa,4/22/23,"Las Vegas, Nevada, USA",Red,Bantamweight,KO/TKO,Punches,3,Brady Hiestand,Batgerel Danaa
Max Holloway,Arnold Allen,4/15/23,"Kansas City, Missouri, USA",Red,Featherweight,U-DEC,None,5,Max Holloway,Arnold Allen
Edson Barboza,Billy Quarantillo,4/15/23,"Kansas City, Missouri, USA",Red,Featherweight,KO/TKO,Knee,1,Edson Barboza,Billy Quarantillo
Dustin Jacoby,Azamat Murzakanov,4/15/23,"Kansas City, Missouri, USA",Blue,Light Heavyweight,U-DEC,None,3,Azamat Murzakanov,Dustin Jacoby
Tanner Boser,Ion Cutelaba,4/15/23,"Kansas City, Missouri, USA",Blue,Light Heavyweight,KO/TKO,Punches,1,Ion Cutelaba,Tanner Boser
Pedro Munhoz,Chris Gutierrez,4/15/23,"Kansas City, Missouri, USA",Red,Bantamweight,U-DEC,None,3,Pedro Munhoz,Chris Gutierrez
Clay Guida,Rafa Garcia,4/15/23,"Kansas City, Missouri, USA",Blue,Lightweight,U-DEC,None,3,Rafa Garcia,Clay Guida
Bill Algeo,TJ Brown,4/15/23,"Kansas City, Missouri, USA",Red,Featherweight,SUB,Rear Naked Choke,2,Bill Algeo,TJ Brown
Brandon Royval,Matheus Nicolau,4/15/23,"Kansas City, Missouri, USA",Red,Flyweight,KO/TKO,Knee,1,Brandon Royval,Matheus Nicolau
Zak Cummings,Ed Herman,4/15/23,"Kansas City, Missouri, USA",Red,Light Heavyweight,KO/TKO,Punches,3,Zak Cummings,Ed Herman
Gillian Robertson,Piera Rodriguez,4/15/23,"Kansas City, Missouri, USA",Red,Women's Strawweight,SUB,Armbar,2,Gillian Robertson,Piera Rodriguez
Lando Vannata,Daniel Zellhuber,4/15/23,"Kansas City, Missouri, USA",Blue,Lightweight,U-DEC,None,3,Daniel Zellhuber,Lando Vannata
Bruna Brasil,Denise Gomes,4/15/23,"Kansas City, Missouri, USA",Blue,Women's Strawweight,KO/TKO,Punches,2,Denise Gomes,Bruna Brasil
Aaron Phillips,Gaston Bolanos,4/15/23,"Kansas City, Missouri, USA",Blue,Bantamweight,U-DEC,None,3,Gaston Bolanos,Aaron Phillips
Joselyne Edwards,Lucie Pudilova,4/15/23,"Kansas City, Missouri, USA",Red,Women's Bantamweight,S-DEC,None,3,Joselyne Edwards,Lucie Pudilova
Alex Pereira,Israel Adesanya,4/8/23,"Miami, Florida, USA",Blue,Middleweight,KO/TKO,Punch,2,Israel Adesanya,Alex Pereira
Gilbert Burns,Jorge Masvidal,4/8/23,"Miami, Florida, USA",Red,Welterweight,U-DEC,None,3,Gilbert Burns,Jorge Masvidal
Rob Font,Adrian Yanez,4/8/23,"Miami, Florida, USA",Red,Bantamweight,KO/TKO,Punch,1,Rob Font,Adrian Yanez
Kevin Holland,Santiago Ponzinibbio,4/8/23,"Miami, Florida, USA",Red,Welterweight,KO/TKO,Punch,3,Kevin Holland,Santiago Ponzinibbio
Raul Rosas Jr.,Christian Rodriguez,4/8/23,"Miami, Florida, USA",Blue,Bantamweight,U-DEC,None,3,Christian Rodriguez,Raul Rosas Jr.
Chris Curtis,Kelvin Gastelum,4/8/23,"Miami, Florida, USA",Blue,Middleweight,U-DEC,None,3,Kelvin Gastelum,Chris Curtis
Michelle Waterson-Gomez,Luana Pinheiro,4/8/23,"Miami, Florida, USA",Blue,Women's Strawweight,S-DEC,None,3,Luana Pinheiro,Michelle Waterson-Gomez
Gerald Meerschaert,Joe Pyfer,4/8/23,"Miami, Florida, USA",Blue,Middleweight,KO/TKO,Punches,1,Joe Pyfer,Gerald Meerschaert
Cynthia Calvillo,Loopy Godinez,4/8/23,"Miami, Florida, USA",Blue,Women's Strawweight,S-DEC,None,3,Loopy Godinez,Cynthia Calvillo
Ignacio Bahamondes,Trey Ogden,4/8/23,"Miami, Florida, USA",Red,Catch Weight,U-DEC,None,3,Ignacio Bahamondes,Trey Ogden
Shayilan Nuerdanbieke,Steve Garcia,4/8/23,"Miami, Florida, USA",Blue,Featherweight,KO/TKO,Punch,2,Steve Garcia,Shayilan Nuerdanbieke
Jaqueline Amorim,Sam Hughes,4/8/23,"Miami, Florida, USA",Blue,Women's Strawweight,U-DEC,None,3,Sam Hughes,Jaqueline Amorim
Marlon Vera,Cory Sandhagen,3/25/23,"San Antonio, Texas, USA",Blue,Bantamweight,S-DEC,None,5,Cory Sandhagen,Marlon Vera
Holly Holm,Yana Santos,3/25/23,"San Antonio, Texas, USA",Red,Women's Bantamweight,U-DEC,None,3,Holly Holm,Yana Santos
Nate Landwehr,Austin Lingo,3/25/23,"San Antonio, Texas, USA",Red,Featherweight,SUB,Rear Naked Choke,2,Nate Landwehr,Austin Lingo
Andrea Lee,Maycee Barber,3/25/23,"San Antonio, Texas, USA",Blue,Women's Flyweight,S-DEC,None,3,Maycee Barber,Andrea Lee
Chidi Njokuani,Albert Duraev,3/25/23,"San Antonio, Texas, USA",Blue,Middleweight,S-DEC,None,3,Albert Duraev,Chidi Njokuani
Daniel Pineda,Tucker Lutz,3/25/23,"San Antonio, Texas, USA",Red,Featherweight,SUB,Guillotine Choke,2,Daniel Pineda,Tucker Lutz
Steven Peterson,Lucas Alexander,3/25/23,"San Antonio, Texas, USA",Blue,Featherweight,U-DEC,None,3,Lucas Alexander,Steven Peterson
Trevin Giles,Preston Parsons,3/25/23,"San Antonio, Texas, USA",Red,Welterweight,S-DEC,None,3,Trevin Giles,Preston Parsons
CJ Vergara,Daniel Lacerda,3/25/23,"San Antonio, Texas, USA",Red,Flyweight,KO/TKO,Elbows,2,CJ Vergara,Daniel Lacerda
Victor Altamirano,Vinicius Salvador,3/25/23,"San Antonio, Texas, USA",Red,Flyweight,U-DEC,None,3,Victor Altamirano,Vinicius Salvador
Leon Edwards,Kamaru Usman,3/18/23,"London, England, United Kingdom",Red,Welterweight,M-DEC,None,5,Leon Edwards,Kamaru Usman
Justin Gaethje,Rafael Fiziev,3/18/23,"London, England, United Kingdom",Red,Lightweight,M-DEC,None,3,Justin Gaethje,Rafael Fiziev
Gunnar Nelson,Bryan Barberena,3/18/23,"London, England, United Kingdom",Red,Welterweight,SUB,Armbar,1,Gunnar Nelson,Bryan Barberena
Jennifer Maia,Casey O'Neill,3/18/23,"London, England, United Kingdom",Red,Women's Flyweight,U-DEC,None,3,Jennifer Maia,Casey O'Neill
Marvin Vettori,Roman Dolidze,3/18/23,"London, England, United Kingdom",Red,Middleweight,U-DEC,None,3,Marvin Vettori,Roman Dolidze
Jack Shore,Makwan Amirkhani,3/18/23,"London, England, United Kingdom",Red,Featherweight,SUB,Rear Naked Choke,2,Jack Shore,Makwan Amirkhani
Chris Duncan,Omar Morales,3/18/23,"London, England, United Kingdom",Red,Lightweight,S-DEC,None,3,Chris Duncan,Omar Morales
Sam Patterson,Yanal Ashmouz,3/18/23,"London, England, United Kingdom",Blue,Lightweight,KO/TKO,Punches,1,Yanal Ashmouz,Sam Patterson
Muhammad Mokaev,Jafel Filho,3/18/23,"London, England, United Kingdom",Red,Flyweight,SUB,Neck Crank,3,Muhammad Mokaev,Jafel Filho
Lerone Murphy,Gabriel Santos,3/18/23,"London, England, United Kingdom",Red,Featherweight,S-DEC,None,3,Lerone Murphy,Gabriel Santos
Christian Leroy Duncan,Dusko Todorovic,3/18/23,"London, England, United Kingdom",Red,Middleweight,KO/TKO,None,1,Christian Leroy Duncan,Dusko Todorovic
Jake Hadley,Malcolm Gordon,3/18/23,"London, England, United Kingdom",Red,Flyweight,KO/TKO,Punch,1,Jake Hadley,Malcolm Gordon
Joanne Wood,Luana Carolina,3/18/23,"London, England, United Kingdom",Red,Women's Flyweight,S-DEC,None,3,Joanne Wood,Luana Carolina
Juliana Miller,Veronica Hardy,3/18/23,"London, England, United Kingdom",Blue,Women's Flyweight,U-DEC,None,3,Veronica Hardy,Juliana Miller
Petr Yan,Merab Dvalishvili,3/11/23,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,5,Merab Dvalishvili,Petr Yan
Alexander Volkov,Alexandr Romanov,3/11/23,"Las Vegas, Nevada, USA",Red,Heavyweight,KO/TKO,Punches,1,Alexander Volkov,Alexandr Romanov
Nikita Krylov,Ryan Spann,3/11/23,"Las Vegas, Nevada, USA",Red,Catch Weight,SUB,Triangle Choke,1,Nikita Krylov,Ryan Spann
Said Nurmagomedov,Jonathan Martinez,3/11/23,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Jonathan Martinez,Said Nurmagomedov
Mario Bautista,Guido Cannetti,3/11/23,"Las Vegas, Nevada, USA",Red,Bantamweight,SUB,Rear Naked Choke,1,Mario Bautista,Guido Cannetti
Vitor Petrino,Anton Turkalj,3/11/23,"Las Vegas, Nevada, USA",Red,Light Heavyweight,U-DEC,None,3,Vitor Petrino,Anton Turkalj
Karl Williams,Lukasz Brzeski,3/11/23,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Karl Williams,Lukasz Brzeski
Raphael Assuncao,Davey Grant,3/11/23,"Las Vegas, Nevada, USA",Blue,Bantamweight,SUB,Inverted Triangle,3,Davey Grant,Raphael Assuncao
Sedriques Dumas,Josh Fremd,3/11/23,"Las Vegas, Nevada, USA",Blue,Middleweight,SUB,Guillotine Choke,2,Josh Fremd,Sedriques Dumas
Victor Henry,Tony Gravely,3/11/23,"Las Vegas, Nevada, USA",Red,Bantamweight,S-DEC,None,3,Victor Henry,Tony Gravely
Ariane da Silva,JJ Aldrich,3/11/23,"Las Vegas, Nevada, USA",Red,Women's Flyweight,U-DEC,None,3,Ariane da Silva,JJ Aldrich
Tyson Nam,Bruno Silva,3/11/23,"Las Vegas, Nevada, USA",Blue,Flyweight,SUB,Rear Naked Choke,2,Bruno Silva,Tyson Nam
Carlston Harris,Jared Gooden,3/11/23,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,3,Carlston Harris,Jared Gooden
Jon Jones,Ciryl Gane,3/4/23,"Las Vegas, Nevada, USA",Red,Heavyweight,SUB,Guillotine Choke,1,Jon Jones,Ciryl Gane
Valentina Shevchenko,Alexa Grasso,3/4/23,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,SUB,Rear Naked Choke,4,Alexa Grasso,Valentina Shevchenko
Geoff Neal,Shavkat Rakhmonov,3/4/23,"Las Vegas, Nevada, USA",Blue,Welterweight,SUB,Rear Naked Choke,3,Shavkat Rakhmonov,Geoff Neal
Mateusz Gamrot,Jalin Turner,3/4/23,"Las Vegas, Nevada, USA",Red,Lightweight,S-DEC,None,3,Mateusz Gamrot,Jalin Turner
Bo Nickal,Jamie Pickett,3/4/23,"Las Vegas, Nevada, USA",Red,Middleweight,SUB,Arm Triangle,1,Bo Nickal,Jamie Pickett
Cody Garbrandt,Trevin Jones,3/4/23,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Cody Garbrandt,Trevin Jones
Derek Brunson,Dricus Du Plessis,3/4/23,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Punches,2,Dricus Du Plessis,Derek Brunson
Viviane Araujo,Amanda Ribas,3/4/23,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,U-DEC,None,3,Amanda Ribas,Viviane Araujo
Julian Marquez,Marc-Andre Barriault,3/4/23,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Punches,2,Marc-Andre Barriault,Julian Marquez
Ian Machado Garry,Song Kenan,3/4/23,"Las Vegas, Nevada, USA",Red,Welterweight,KO/TKO,Punches,3,Ian Machado Garry,Song Kenan
Mana Martinez,Cameron Saaiman,3/4/23,"Las Vegas, Nevada, USA",Blue,Bantamweight,M-DEC,None,3,Cameron Saaiman,Mana Martinez
Jessica Penne,Tabatha Ricci,3/4/23,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,SUB,Armbar,2,Tabatha Ricci,Jessica Penne
Da'Mon Blackshear,Farid Basharat,3/4/23,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Farid Basharat,Da'Mon Blackshear
Esteban Ribovics,Loik Radzhabov,3/4/23,"Las Vegas, Nevada, USA",Blue,Lightweight,U-DEC,None,3,Loik Radzhabov,Esteban Ribovics
Andre Muniz,Brendan Allen,2/25/23,"Las Vegas, Nevada, USA",Blue,Middleweight,SUB,Rear Naked Choke,3,Brendan Allen,Andre Muniz
Augusto Sakai,Don'Tale Mayes,2/25/23,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Augusto Sakai,Don'Tale Mayes
Tatiana Suarez,Montana De La Rosa,2/25/23,"Las Vegas, Nevada, USA",Red,Women's Flyweight,SUB,Guillotine Choke,2,Tatiana Suarez,Montana De La Rosa
Mike Malott,Yohan Lainesse,2/25/23,"Las Vegas, Nevada, USA",Red,Welterweight,SUB,Arm Triangle,1,Mike Malott,Yohan Lainesse
Erick Gonzalez,Trevor Peek,2/25/23,"Las Vegas, Nevada, USA",Blue,Lightweight,KO/TKO,Punch,1,Trevor Peek,Erick Gonzalez
Jasmine Jasudavicius,Gabriella Fernandes,2/25/23,"Las Vegas, Nevada, USA",Red,Women's Flyweight,U-DEC,None,3,Jasmine Jasudavicius,Gabriella Fernandes
Jordan Leavitt,Victor Martinez,2/25/23,"Las Vegas, Nevada, USA",Red,Lightweight,KO/TKO,Knees,1,Jordan Leavitt,Victor Martinez
Ode Osbourne,Charles Johnson,2/25/23,"Las Vegas, Nevada, USA",Red,Catch Weight,S-DEC,None,3,Ode Osbourne,Charles Johnson
Joe Solecki,Carl Deaton,2/25/23,"Las Vegas, Nevada, USA",Red,Lightweight,SUB,Rear Naked Choke,2,Joe Solecki,Carl Deaton
Rafael Alves,Nurullo Aliev,2/25/23,"Las Vegas, Nevada, USA",Blue,Lightweight,M-DEC,None,3,Nurullo Aliev,Rafael Alves
Jessica Andrade,Erin Blanchfield,2/18/23,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,SUB,Rear Naked Choke,2,Erin Blanchfield,Jessica Andrade
Jordan Wright,Zac Pauga,2/18/23,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,U-DEC,None,3,Zac Pauga,Jordan Wright
Josh Parisian,Jamal Pogues,2/18/23,"Las Vegas, Nevada, USA",Blue,Heavyweight,U-DEC,None,3,Jamal Pogues,Josh Parisian
William Knight,Marcin Prachnio,2/18/23,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,U-DEC,None,3,Marcin Prachnio,William Knight
Jim Miller,Alexander Hernandez,2/18/23,"Las Vegas, Nevada, USA",Blue,Lightweight,U-DEC,None,3,Alexander Hernandez,Jim Miller
Nazim Sadykhov,Evan Elder,2/18/23,"Las Vegas, Nevada, USA",Red,Lightweight,KO/TKO,None,3,Nazim Sadykhov,Evan Elder
Lina Lansberg,Mayra Bueno Silva,2/18/23,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,SUB,Kneebar,2,Mayra Bueno Silva,Lina Lansberg
Jamall Emmers,Khusein Askhabov,2/18/23,"Las Vegas, Nevada, USA",Red,Featherweight,U-DEC,None,3,Jamall Emmers,Khusein Askhabov
Ovince Saint Preux,Philipe Lins,2/18/23,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,KO/TKO,Punch,1,Philipe Lins,Ovince Saint Preux
AJ Fletcher,Themba Gorimbo,2/18/23,"Las Vegas, Nevada, USA",Red,Welterweight,SUB,Guillotine Choke,2,AJ Fletcher,Themba Gorimbo
Clayton Carpenter,Juancamilo Ronderos,2/18/23,"Las Vegas, Nevada, USA",Red,Flyweight,SUB,Rear Naked Choke,1,Clayton Carpenter,Juancamilo Ronderos
Islam Makhachev,Alexander Volkanovski,2/11/23,"Perth, Western Australia, Australia",Red,Lightweight,U-DEC,None,5,Islam Makhachev,Alexander Volkanovski
Yair Rodriguez,Josh Emmett,2/11/23,"Perth, Western Australia, Australia",Red,Featherweight,SUB,Triangle Choke,2,Yair Rodriguez,Josh Emmett
Jack Della Maddalena,Randy Brown,2/11/23,"Perth, Western Australia, Australia",Red,Welterweight,SUB,Rear Naked Choke,1,Jack Della Maddalena,Randy Brown
Justin Tafa,Parker Porter,2/11/23,"Perth, Western Australia, Australia",Red,Heavyweight,KO/TKO,Punch,1,Justin Tafa,Parker Porter
Tyson Pedro,Modestas Bukauskas,2/11/23,"Perth, Western Australia, Australia",Blue,Light Heavyweight,U-DEC,None,3,Modestas Bukauskas,Tyson Pedro
Josh Culibao,Melsik Baghdasaryan,2/11/23,"Perth, Western Australia, Australia",Red,Featherweight,SUB,Rear Naked Choke,2,Josh Culibao,Melsik Baghdasaryan
Shannon Ross,Kleydson Rodrigues,2/11/23,"Perth, Western Australia, Australia",Blue,Flyweight,KO/TKO,Punches,1,Kleydson Rodrigues,Shannon Ross
Jamie Mullarkey,Francisco Prado,2/11/23,"Perth, Western Australia, Australia",Red,Lightweight,U-DEC,None,3,Jamie Mullarkey,Francisco Prado
Jack Jenkins,Don Shainis,2/11/23,"Perth, Western Australia, Australia",Red,Featherweight,U-DEC,None,3,Jack Jenkins,Don Shainis
Loma Lookboonmee,Elise Reed,2/11/23,"Perth, Western Australia, Australia",Red,Women's Strawweight,SUB,Rear Naked Choke,2,Loma Lookboonmee,Elise Reed
Shane Young,Blake Bilder,2/11/23,"Perth, Western Australia, Australia",Blue,Featherweight,U-DEC,None,3,Blake Bilder,Shane Young
Zubaira Tukhugov,Elves Brener,2/11/23,"Perth, Western Australia, Australia",Blue,Lightweight,S-DEC,None,3,Elves Brener,Zubaira Tukhugov
Derrick Lewis,Serghei Spivac,2/4/23,"Las Vegas, Nevada, USA",Blue,Heavyweight,SUB,Arm Triangle,1,Serghei Spivac,Derrick Lewis
Da Woon Jung,Devin Clark,2/4/23,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,U-DEC,None,3,Devin Clark,Da Woon Jung
Marcin Tybura,Blagoy Ivanov,2/4/23,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Marcin Tybura,Blagoy Ivanov
Yusaku Kinoshita,Adam Fugitt,2/4/23,"Las Vegas, Nevada, USA",Blue,Welterweight,KO/TKO,Elbows,1,Adam Fugitt,Yusaku Kinoshita
Jeka Saragih,Anshul Jubli,2/4/23,"Las Vegas, Nevada, USA",Blue,Lightweight,KO/TKO,Elbows,2,Anshul Jubli,Jeka Saragih
JeongYeong Lee,Yizha,2/4/23,"Las Vegas, Nevada, USA",Red,Featherweight,S-DEC,None,3,JeongYeong Lee,Yizha
Toshiomi Kazama,Rinya Nakamura,2/4/23,"Las Vegas, Nevada, USA",Blue,Bantamweight,KO/TKO,Punch,1,Rinya Nakamura,Toshiomi Kazama
SeungGuk Choi,HyunSung Park,2/4/23,"Las Vegas, Nevada, USA",Blue,Flyweight,SUB,Rear Naked Choke,3,HyunSung Park,SeungGuk Choi
JunYong Park,Denis Tiuliulin,2/4/23,"Las Vegas, Nevada, USA",Red,Middleweight,SUB,Rear Naked Choke,1,JunYong Park,Denis Tiuliulin
Tatsuro Taira,Jesus Aguilar,2/4/23,"Las Vegas, Nevada, USA",Red,Flyweight,SUB,Triangle Armbar,1,Tatsuro Taira,Jesus Aguilar
Glover Teixeira,Jamahal Hill,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Light Heavyweight,U-DEC,None,5,Jamahal Hill,Glover Teixeira
Deiveson Figueiredo,Brandon Moreno,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Flyweight,KO/TKO,None,3,Brandon Moreno,Deiveson Figueiredo
Gilbert Burns,Neil Magny,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Welterweight,SUB,Arm Triangle,1,Gilbert Burns,Neil Magny
Lauren Murphy,Jessica Andrade,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Women's Flyweight,U-DEC,None,3,Jessica Andrade,Lauren Murphy
Paul Craig,Johnny Walker,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Light Heavyweight,KO/TKO,Punches,1,Johnny Walker,Paul Craig
Mauricio Rua,Ihor Potieria,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Light Heavyweight,KO/TKO,Punches,1,Ihor Potieria,Mauricio Rua
Gregory Rodrigues,Brunno Ferreira,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Middleweight,KO/TKO,Punch,1,Brunno Ferreira,Gregory Rodrigues
Thiago Moises,Melquizael Costa,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Lightweight,SUB,Rear Naked Choke,2,Thiago Moises,Melquizael Costa
